height,height_source,floors,lon,lat
12.2,estimated,1.5,12.486101307158409,41.89254615685403
14.6,estimated,1.7,12.484902099998823,41.89559301662175
5.8,estimated,1.1,12.48723959998988,41.89116219403734
6.7,estimated,1.1,12.48814511332217,41.89153073727757
5.1,estimated,1.0,12.486587750000256,41.88933994403703
7.3,estimated,1.5,12.488321785480682,41.89328158421872
6.1,estimated,1.1,12.485269914126402,41.887688216822184
12.9,estimated,1.5,12.486276115625223,41.89246670676326
5.9,estimated,1.1,12.484907480868873,41.892838723832476
5.6,estimated,1.4,12.485522410023302,41.88738809638848
5.4,estimated,1.1,12.48787234326143,41.886844206637065
12.3,estimated,1.5,12.485873971765999,41.89264904545441
5.3,estimated,1.3,12.485886425355892,41.89257090518996
13.9,estimated,1.5,12.484597399998822,41.89571101662181
9.1,estimated,1.1,12.484522649999935,41.894109344039045
5.3,estimated,1.1,12.48738364088156,41.891494132330244
4.5,estimated,1.0,12.48669588484334,41.88782009832925
20.1,estimated,1.6,12.50162283240291,41.89970761975189
10.5,estimated,3.6,12.492368483976902,41.8902723406166
11.3,estimated,1.4,12.500594335425523,41.89680310594116
6.7,estimated,1.4,12.470756769862545,41.89237114455024
12.7,estimated,1.8,12.48469201769721,41.893865428658216
5.3,estimated,1.0,12.487241680692863,41.88741990031456
5.4,estimated,1.1,12.485689631502742,41.891562198493936
5.4,estimated,1.3,12.487945398757208,41.88697964813118
4.5,estimated,1.1,12.486241550000566,41.889041394036965
6.0,estimated,1.1,12.48679317669024,41.894571046546304
6.7,estimated,1.1,12.487615701333343,41.88759249838805
8.3,estimated,1.3,12.483772740873846,41.89254662665448
6.6,estimated,1.2,12.48490965449602,41.89084525584778
11.6,estimated,2.2,12.49766437381042,41.91112788693668
12.6,estimated,1.5,12.486542109315538,41.89242214772302
4.4,estimated,1.1,12.49696237489556,41.90271565173277
6.2,estimated,1.3,12.48578199999976,41.895327444039786
5.7,estimated,1.1,12.487445522287764,41.89110771566602
10.7,estimated,1.3,12.48487936174735,41.89184949467105
6.7,estimated,1.3,12.486295799918224,41.891371036390495
5.9,estimated,1.4,12.48737388251521,41.88772957244322
6.3,estimated,1.2,12.485909626862002,41.892891835733145
4.7,estimated,1.0,12.487434287018905,41.88849448725472
4.9,estimated,1.1,12.486363280378654,41.88691445407458
5.7,estimated,1.4,12.48725387350079,41.88762821834793
12.6,estimated,1.7,12.484794677307542,41.89386547368485
4.5,estimated,1.2,12.5011874349392,41.902344242961604
4.9,estimated,1.0,12.48561328679692,41.88894150884826
5.2,estimated,1.1,12.486372491805579,41.89221784631989
5.3,estimated,1.1,12.486327395036035,41.89221192681588
4.7,estimated,1.1,12.486347590334404,41.89218576426765
4.4,estimated,1.0,12.485253019697431,41.87888477003294
5.8,estimated,1.3,12.487524615253394,41.88785442369846
8.5,estimated,1.7,12.487813110954155,41.887656001430784
6.7,estimated,1.1,12.455828351411052,41.906218764961395
3.5,estimated,1.1,12.458934964537875,41.87982933656112
12.6,estimated,1.4,12.504193611184148,41.893951144937205
11.2,estimated,3.8,12.496442583107514,41.904032465649344
3.9,estimated,1.1,12.492319095468108,41.885544058738134
4.6,estimated,1.3,12.492230501727825,41.8854881844675
4.9,estimated,1.0,12.487917081581132,41.888674348362784
7.1,estimated,1.3,12.48374669903234,41.89256931047149
4.6,estimated,1.1,12.486818872572188,41.8889276109297
5.0,estimated,1.1,12.487524742865372,41.888742555822844
6.2,estimated,1.3,12.487765424481713,41.88805317776299
5.8,estimated,1.1,12.485310279421945,41.89230850082896
5.9,estimated,1.1,12.487436889632349,41.8879633633777
5.6,estimated,1.1,12.48738417894235,41.88800001353726
6.0,estimated,1.2,12.490859838909332,41.88994526588085
45.7,osm,2.5,12.504795955346765,41.88684382525538
